name: ATI  Radeon HD 5400 Series, vendor: 1002, model: 68E0
name: ATI  Radeon HD 6350, vendor: 1002, model: 68E1
name: ATI FirePro (FireGL) Graphics Adapter, vendor: 1002, model: 68F1
name: ATI FirePro 3800 (FireGL) Graphics Adapter, vendor: 1002, model: 68C9
name: ATI FirePro 3800 (FireGL) Graphics Adapter, vendor: 1002, model: 68C9
name: ATI FirePro V (FireGL V) Graphics Adapter, vendor: 1002, model: 6704
name: ATI FirePro V (FireGL V) Graphics Adapter, vendor: 1002, model: 6707
name: ATI FirePro V (FireGL V) Graphics Adapter, vendor: 1002, model: 6749
name: ATI FirePro V (FireGL V) Graphics Adapter, vendor: 1002, model: 674A
name: ATI FirePro V (FireGL V) Graphics Adapter, vendor: 1002, model: 6780
name: ATI FirePro V (FireGL V) Graphics Adapter, vendor: 1002, model: 678A
name: ATI FirePro V(FireGL V) Graphics Adapter, vendor: 1002, model: 6808
name: ATI FirePro V(FireGL V) Graphics Adapter, vendor: 1002, model: 6809
name: ATI FirePro V(FireGL V) Graphics Adapter, vendor: 1002, model: 6828
name: ATI FirePro V3800 (FireGL V), vendor: 1002, model: 68C9
name: ATI FirePro V4800 (FireGL V), vendor: 1002, model: 68C8
name: ATI FirePro V4800 (FireGL) Graphics Adapter, vendor: 1002, model: 68C8
name: ATI FirePro V4800 (FireGL) Graphics Adapter, vendor: 1002, model: 68C8
name: ATI FirePro V5800 (FireGL V), vendor: 1002, model: 68A9
name: ATI FirePro V5800 (FireGL) Graphics Adapter, vendor: 1002, model: 68A9
name: ATI FirePro V7800 (FireGL V), vendor: 1002, model: 6889
name: ATI FirePro V7800 (FireGL) Graphics Adapter, vendor: 1002, model: 6889
name: ATI FirePro V7800 (FireGL) Graphics Adapter, vendor: 1002, model: 6889
name: ATI FirePro V7800P (FireGL V), vendor: 1002, model: 6889
name: ATI FirePro V8800 (FireGL V), vendor: 1002, model: 6888
name: ATI FirePro V8800 (FireGL) Graphics Adapter, vendor: 1002, model: 6888
name: ATI FirePro V8800 (FireGL) Graphics Adapter, vendor: 1002, model: 6888
name: ATI FirePro V9800 (FireGL V), vendor: 1002, model: 688A
name: ATI FirePro V9800 (FireGL) Graphics Adapter, vendor: 1002, model: 688A
name: ATI FirePro V9800P (FireGL V), vendor: 1002, model: 688A
name: ATI Mobility Radeon Graphics, vendor: 1002, model: 68E4
name: ATI Mobility Radeon Graphics, vendor: 1002, model: 68E5
name: ATI Mobility Radeon HD 5000 Series, vendor: 1002, model: 68C0
name: ATI Mobility Radeon HD 5000 Series, vendor: 1002, model: 68C1
name: ATI Mobility Radeon HD 5000 Series, vendor: 1002, model: 68E0
name: ATI Mobility Radeon HD 5000 Series, vendor: 1002, model: 68E1
name: ATI Mobility Radeon HD 5000 Series, vendor: 1002, model: 68E1
name: ATI Mobility Radeon HD 5000, vendor: 1002, model: 68C0
name: ATI Mobility Radeon HD 5400 Series, vendor: 1002, model: 68E0
name: ATI Mobility Radeon HD 5400 Series, vendor: 1002, model: 68E1
name: ATI Mobility Radeon HD 5450, vendor: 1002, model: 68E0
name: ATI Mobility Radeon HD 5470, vendor: 1002, model: 68E0
name: ATI Mobility Radeon HD 5570, vendor: 1002, model: 68C7
name: ATI Mobility Radeon HD 5570, vendor: 1002, model: 68C7
name: ATI Mobility Radeon HD 5650, vendor: 1002, model: 68C1
name: ATI Mobility Radeon HD 5800 Series, vendor: 1002, model: 68A0
name: ATI Mobility Radeon HD 5800 Series, vendor: 1002, model: 68A1
name: ATI Mobility Radeon HD 5800 Series, vendor: 1002, model: 68A0
name: ATI Mobility Radeon HD 5800 Series, vendor: 1002, model: 68A1
name: ATI Mobility Radeon HD 6000 series, vendor: 1002, model: 6740
name: ATI Mobility Radeon HD 6000 series, vendor: 1002, model: 6741
name: ATI Mobility Radeon HD 6000 series, vendor: 1002, model: 6842
name: ATI Mobility Radeon HD 6370, vendor: 1002, model: 68E4
name: ATI Mobility Radeon HD 6550, vendor: 1002, model: 68C1
name: ATI Mobility Radeon HD 6570, vendor: 1002, model: 68C0
name: ATI Radeon HD 5400 Series, vendor: 1002, model: 68E1
name: ATI Radeon HD 5400 Series, vendor: 1002, model: 68E5
name: ATI Radeon HD 5450, vendor: 1002, model: 68E0
name: ATI Radeon HD 5450, vendor: 1002, model: 68F9
name: ATI Radeon HD 5450, vendor: 1002, model: 68F9
name: ATI Radeon HD 5470, vendor: 1002, model: 68E1
name: ATI Radeon HD 5470, vendor: 1002, model: 68F9
name: ATI Radeon HD 5490, vendor: 1002, model: 68F9
name: ATI Radeon HD 5500 Series, vendor: 1002, model: 68DA
name: ATI Radeon HD 5530, vendor: 1002, model: 68F9
name: ATI Radeon HD 5570, vendor: 1002, model: 68DA
name: ATI Radeon HD 5570, vendor: 1002, model: 68D9
name: ATI Radeon HD 5600/5700, vendor: 1002, model: 68B9
name: ATI Radeon HD 5630, vendor: 1002, model: 68D9
name: ATI Radeon HD 5630, vendor: 1002, model: 68DA
name: ATI Radeon HD 5670, vendor: 1002, model: 68D8
name: ATI Radeon HD 5690, vendor: 1002, model: 68D8
name: ATI Radeon HD 5700 Series, vendor: 1002, model: 68B8
name: ATI Radeon HD 5700 Series, vendor: 1002, model: 68BE
name: ATI Radeon HD 5730, vendor: 1002, model: 68D8
name: ATI Radeon HD 5800 Series, vendor: 1002, model: 6898
